,score,read,pending,following,favorite,have,abandoned,Magia,Mecha,Demonios,Género Bender,Realidad Virtual,Drama,Niños,Guerra,Harem,Vampiros,Horror,Acción,Realidad,Traps,Militar,Crimen,Recuentos de la vida,Apocalíptico,Psicológico,Misterio,Musica,Extranjero,Samurái,Girls Love,Telenovela,Policiaco,Animación,Parodia,Deporte,Supervivencia,Aventura,Oeste,Superpoderes,Ecchi,Tragedia,Fantasia,Gore,Boys Love,Reencarnación,Sobrenatural,Vida Escolar,Historia,Romance,Ciencia Ficción,Thriller,Ciberpunk,Artes Marciales,Comedia,Familia,chapters_count,type_score,demography_score,book_status_score
70,9.22,576.0,2300.0,6100.0,854.0,288.0,253.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0,6.638798999779363,5.720540696002301,1
71,10.0,7500.0,5800.0,8300.0,4700.0,1300.0,496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,10.0,6.638798999779363,5.720540696002301,2
72,0.0,2600.0,3800.0,7700.0,2000.0,1000.0,688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3.0,6.638798999779363,5.720540696002301,0
73,0.0,3600.0,2500.0,3600.0,1300.0,621.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.0,6.638798999779363,5.720540696002301,0
74,10.0,714.0,1800.0,3100.0,905.0,521.0,293.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4.0,6.638798999779363,5.720540696002301,1
75,9.75,5800.0,2900.0,3700.0,2300.0,1100.0,410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,6.638798999779363,5.720540696002301,0
76,8.94,3500.0,1800.0,3900.0,313.0,184.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11.0,6.638798999779363,5.720540696002301,0
77,0.0,3800.0,1700.0,2000.0,977.0,429.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.0,6.638798999779363,5.720540696002301,0
78,7.0,7200.0,2100.0,2700.0,1500.0,627.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.0,6.638798999779363,5.720540696002301,0
79,0.0,1200.0,787.0,1500.0,694.0,250.0,150.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,6.638798999779363,6.549223300970874,1
