,score
6922,8.78
1219,0.0
15851,0.0
7401,8.36
1997,0.0
18819,0.0
9349,8.43
17409,8.67
2678,0.0
11925,8.78
8067,8.0
16218,8.87
15804,0.0
11322,9.0
6768,9.1
15044,8.61
18824,0.0
2951,7.25
4355,8.87
5979,10.0
4385,10.0
14032,1.0
10212,6.0
11794,4.0
15553,9.5
12543,10.0
13804,8.0
18786,9.0
18617,7.0
5333,8.98
1395,10.0
10190,10.0
196,9.0
18660,10.0
9159,8.42
4913,0.0
4682,0.0
12889,8.57
10612,8.76
939,9.75
14114,9.0
5205,8.0
8622,0.0
2204,9.67
13309,8.6
15550,8.77
18808,8.89
17808,10.0
10663,9.37
1113,9.67
4162,0.0
4846,8.23
16071,9.0
12150,8.87
14548,8.85
4572,8.26
3332,0.0
9652,7.74
9634,7.72
1922,6.99
1293,9.5
9302,8.76
12515,9.04
17525,0.0
17499,0.0
6216,0.0
10923,0.0
16438,8.14
34,0.0
14543,8.22
7084,3.67
6912,8.0
5516,9.33
2677,9.2
16011,0.0
14559,9.0
7499,8.82
4303,8.52
10135,0.0
14604,6.5
16300,0.0
3698,0.0
2532,7.5
4691,9.0
13121,8.8
1784,8.55
3794,0.0
8446,0.0
141,9.0
7578,8.24
10983,9.0
13944,9.0
1336,10.0
2942,8.8
3288,10.0
9465,8.63
4977,0.0
4323,0.0
15211,10.0
17888,9.0
17498,9.23
386,9.0
4376,8.6
5797,8.67
12638,8.34
17339,7.94
16041,8.21
6417,8.0
12869,8.41
13965,0.0
13232,8.59
16745,6.0
3949,8.72
16252,10.0
13018,0.0
14621,7.5
2997,7.5
14623,6.55
17138,10.0
9324,7.85
10861,9.67
14475,6.56
2903,6.92
5824,0.0
2885,6.67
9234,7.7
13961,9.67
17546,8.0
5083,8.36
13239,8.27
5437,9.09
2132,8.91
10169,9.07
13687,8.67
13404,8.26
1145,8.87
10126,10.0
8101,10.0
10589,4.86
5341,0.0
8706,8.74
15146,6.0
2290,5.0
13073,7.68
11193,8.0
4517,8.23
5091,8.58
10654,7.43
13074,0.0
15015,8.66
17124,0.0
9536,8.48
1131,6.0
6845,9.05
17437,0.0
4336,8.75
3275,10.0
10277,10.0
14233,8.0
12953,8.16
5045,7.89
5740,0.0
17943,0.0
12583,0.0
8027,1.0
9751,8.5
17417,5.5
15674,9.05
6024,9.03
6987,8.0
6580,9.0
4347,8.3
4574,8.92
6870,6.82
15006,8.13
11765,5.0
9312,7.14
17576,0.0
169,9.75
1283,0.0
16522,8.65
9402,0.0
1209,9.14
674,6.0
3224,7.0
7826,0.0
7373,0.0
3058,9.33
12990,0.0
17310,8.0
1151,0.0
9994,9.0
16167,7.93
5515,6.0
2018,0.0
5570,8.65
17608,0.0
12006,0.0
6441,10.0
1914,0.0
12693,8.84
3404,0.0
1459,4.0
12508,8.7
748,9.67
16994,0.0
1002,8.0
6084,7.67
18085,10.0
10584,9.18
5072,0.0
16630,0.0
6037,8.62
6988,8.82
18581,6.4
10578,8.45
